"job_title","salary"
"Data Analyst","650000"
"Data base administrator","400000"
"Sr Data Analyst","375000"
"Head of Infrastructure Management & Data Analytics - Financial...","375000"
"HC Data Analyst , Senior","375000"
"Director of Safety Data Analysis","375000"
"Data Analyst","350000"
"Head of Data Analytics","350000"
"Director of Analytics","336500"
"Research Scientist","285000"
"Associate Director- Data Insights","255830"
"Partner Technology Manager, Data Analytics and AI","254000"
"Director Analytics","245000"
"Data Analyst","240000"
"Data Sector Analyst - Hedge Fund in Midtown","240000"
"Investigations and Insights Lead Data Analyst - USDS","239778"
"Investigations and Insights Lead Data Analyst - USDS","239778"
"Data & Intelligence Manager, Finance","235000"
"Principal, Data Analyst","234000"
"Data Analyst, Marketing","232423"
"Analytics Director - Cross Ecosystem","230000"
"Reference Data Analyst","225000"
"Director, Internal Audit, Data Analytics","225000"
"Data Analyst","225000"
"Data Analyst Director","225000"
"E-commerce Data Analyst","224500"
"Data Analyst Manager, TikTok-US-Data Security","222500"
"TikTok Shop - Data Analyst","222094"
"Research Scientist / Research Engineer (Greater NYC Area, NY)","220000"
"Staff Consultant - Data Analyst --- Springfield, VA location","218500"
"Staff Consultant - Data Analyst - Springfield, VA location","218500"
"Lead Data Analyst LIVE - USDS","217550"
"Data Analyst (Hybrid/Remote)","217000"
"88-50100161 Statistical Scientist","215643"
"Product Manager-Data, TikTok E-commerce","215500"
"Senior Research and Data Analyst","213000"
"Data Analyst-SME","210267"
"Business Intelligence Data Analyst - Global Monetization Product ...","208500"
"Data Analyst - Health, Principal","205000"
"Principal Data Analyst (Remote)","205000"
"Data Analytics- USDS","204585"
"Data Analyst-SME","204000"
"Senior, Data Analyst","202000"
"Technology Research Engineer for Power Semiconductors (f/m/div.)","200000"
"Research Engineer (partial work abroad)","200000"
"Principal Business Data Analyst","200000"
"Staff Data Analyst, Credit Analytics","200000"
"Data Analytics Services Director","200000"
"Staff Business Data Analyst","200000"
"Data Analytics Lead","200000"
"Data Analyst（SF）","200000"
"Staff Analytics Engineer, Guest Data","200000"
"Staff Business Data Analyst","200000"
"Research Engineer (f/m/div.)","200000"
"Staff Business Data Analyst","200000"
"Research Engineer - Credit Insight","200000"
"Research Engineer - Physics (H/F)","200000"
"Research Engineer for Security and Privacy  (f/m/div.)","199675"
"Sr. Business Intelligence Engineer","198875"
"Applied Scientist","198000"
"Applied Scientist","194500"
"Marketing Data Analyst","190000"
"Director, Data Analytics & Insights","190000"
"Sr. Process Engineer/Data Analyst, MTS V - (E5)","190000"
"Director, Data Analyst - HYBRID","189309"
"Principal Data Analyst, AV Performance Analysis","189000"
"Business Group Manager - Remediation & Data Analyst Manager - SVP...","188675"
"SVP, Credit Risk Digital Transformation Senior Business/Data Analyst","188675"
"Staff Research Scientist - Cancer Genomics","187875"
"Data Analyst - Tiktok Ads","186500"
"Data Analyst III","186093"
"Principal Data Analyst","186000"
"Lead-Data Analyst","186000"
"BFSI Data Analytics Delivery Manager/Lead","185000"
"Director of Consumer Data and Analytics","185000"
"Data Analysis Manager","185000"
"ERM Data Analyst","184878"
"ERM Data Analyst","184000"
"Science & Technology Data Analyst Team Lead (Bio Tech) Top-Secret","182500"
"Business Group Manager - Remediation & Data Analyst Manager - SVP...","181425"
"Lead Data Analyst, Influence Operations - USDS","181178"
"Investigations and Insights Lead Data Analyst - USDS","181178"
"Business Data Analyst - TikTok Monetization Product","181000"
"Data Associate, Investor Relations","180000"
"Market Data Lead Analyst","180000"
"Business Analyst/Data Analyst Compliance","180000"
"Staff Data Analyst","180000"
